,股票代码,股票简称,注册地,办公地,中文全称,所属城市
1392,002872,ST 天圣,重庆,重庆,天圣制药集团股份有限公司,重庆
1393,002873,新天药业,贵州省贵阳市,贵州省贵阳市,贵阳新天药业股份有限公司,贵阳
1394,002875,安奈儿,深圳,深圳,深圳市安奈儿股份有限公司,深圳
1395,002876,三利谱,深圳,深圳,深圳市三利谱光电科技股份有限公司,深圳
1396,002877,智能自控,江苏省无锡市,江苏省无锡市,无锡智能自控工程股份有限公司,无锡
1397,002878,元隆雅图,北京,北京,北京元隆雅图文化传播股份有限公司,北京
1398,002879,长缆科技,长沙,长沙,长缆电工科技股份有限公司,长沙
1399,002880,卫光生物,深圳,深圳,深圳市卫光生物制品股份有限公司,深圳
1400,002881,美格智能,深圳,深圳,美格智能技术股份有限公司,深圳
1401,002882,金龙羽,深圳,深圳,金龙羽集团股份有限公司,深圳
1402,002883,中设股份,江苏省无锡市,江苏省无锡市,江苏中设集团股份有限公司,无锡
1403,002884,凌霄泵业,广东省阳春市,广东省阳春市,广东凌霄泵业股份有限公司,阳春
1404,002885,京泉华,深圳,深圳,深圳市京泉华科技股份有限公司,深圳
1405,002886,沃特股份,深圳,深圳,深圳市沃特新材料股份有限公司,深圳
1406,002887,绿茵生态,天津,天津,天津绿茵景观生态建设股份有限公司,天津
1407,002888,惠威科技,广州,广州,广州惠威电声科技股份有限公司,广州
1408,002889,东方嘉盛,深圳,深圳,深圳市东方嘉盛供应链股份有限公司,深圳
1409,002890,弘宇股份,山东省莱州市,山东省莱州市,山东弘宇农机股份有限公司,莱州
1410,002891,中宠股份,山东省烟台市,山东省烟台市,烟台中宠食品股份有限公司,烟台
1411,002892,科力尔,湖南省永州市,深圳,科力尔电机集团股份有限公司,永州
1412,002893,华通热力,北京,北京,北京华远意通热力科技股份有限公司,北京
1413,002895,川恒股份,贵州省黔南布依族苗族自治州福泉市,贵州省黔南布依族苗族自治州福泉市,贵州川恒化工股份有限公司,福泉
1414,002896,中大力德,浙江省慈溪市,浙江省慈溪市,宁波中大力德智能传动股份有限公司,慈溪
1415,002897,意华股份,浙江省乐清市,浙江省乐清市,温州意华接插件股份有限公司,乐清
1416,002898,赛隆药业,广东省珠海市,广东省珠海市,赛隆药业集团股份有限公司,珠海
1417,002899,英派斯,山东省即墨市,青岛,青岛英派斯健康科技股份有限公司,即墨
1418,002900,哈三联,北京,北京,哈尔滨三联药业股份有限公司,哈尔滨
1419,002901,大博医疗,福建省厦门市,福建省厦门市,大博医疗科技股份有限公司,厦门
1420,002902,铭普光磁,东莞,东莞,东莞铭普光磁股份有限公司,东莞
1421,002903,宇环数控,长沙,长沙,宇环数控机床股份有限公司,长沙
1422,002905,金逸影视,广州,广州,广州金逸影视传媒股份有限公司,广州
1423,002906,华阳集团,广东省惠州市,广东省惠州市,惠州市华阳集团股份有限公司,惠州
1424,002907,华森制药,重庆,重庆,重庆华森制药股份有限公司,重庆
1425,002908,德生科技,广州,广州,广东德生科技股份有限公司,广州
1426,002909,集泰股份,广州,广州,广州集泰化工股份有限公司,广州
1427,002910,庄园牧场,甘肃省兰州市,甘肃省兰州市,兰州庄园牧场股份有限公司,兰州
1428,002911,佛燃能源,佛山,佛山,佛燃能源集团股份有限公司,佛山
1429,002912,中新赛克,深圳,深圳,深圳市中新赛克科技股份有限公司,深圳
1430,002913,奥士康,湖南省益阳市,深圳,奥士康科技股份有限公司,益阳
1431,002915,中欣氟材,杭州,杭州,浙江中欣氟材股份有限公司,绍兴
1432,002916,深南电路,深圳,深圳,深南电路股份有限公司,深圳
1433,002917,金奥博,深圳,深圳,深圳市金奥博科技股份有限公司,深圳
1434,002918,蒙娜丽莎,佛山,佛山,蒙娜丽莎集团股份有限公司,佛山
1435,002919,名臣健康,广东省汕头市,广东省汕头市,名臣健康用品股份有限公司,汕头
1436,002920,德赛西威,广东省惠州市,广东省惠州市,惠州市德赛西威汽车电子股份有限公司,惠州
