,city,stkcd
77,深圳,000001#000002#000004#000005#000006#000007#000009#000011#000012#000014#000016#000017#000019#000020#000021#000022#000023#000024#000025#000026#000027#000028#000029#000031#000032#000033#000036#000037#000039#000040#000042#000043#000045#000048#000049#000050#000055#000056#000058#000060#000061#000062#000063#000066#000068#000069#000070#000078#000088#000089#000090#000096#000099#000687#000999#002008#002047#002052#002055#002105#002106#002121#002130#002137#002138#002139#002161#002163#002168#002170#002183#002191#002197#002210#002213#002215#002218#002227#002238#002243#002256#002285#002289#002294#002301#002303#002313#002314#002316#002325#002327#002334#002336#002340#002341#002351#002352#002356#002369#002399#002402#002416#002417#002419#002421#002429#002436#002456#002482#002518#002528#300012#300037#300042#300044#300047#300052#300077#300085#300112#300115#300124#300130#300131#300136#300151#300154#600030#600036#600380#600383#600446#600525#600548#600892#600999#601139#601318#601333#300162#300167#300178#002548#002551#300193#300197#300199#300206#300207#002577#002583#300227#002587#300232#300235#002594#300241#002609#300252#300264#002618#002620#300269#002625#300277#002654#000010#002660#300303#300301#300311#002672#300317#300319#002681#300333#300348#300350#000038#300377#300389#300400#002724#002733#002735#002736#603118#603808#002751#300457#300468#002763#002766#002769#002775#002782#002786#001979#002789#300484#300506#002797#300518#300531#300532#300533#300538#002811#300543#300545#300546#002813#002815#603160#002816#300556#300565#002823#002822#300568#300570#300572#002830#002831#300576#002835#002837#603228#002845#300602#300601#300615#002850#002851#300622#300621#002856#300633#300638#300514#002867#300647#002869#300656#002876#002875#002880#300668#002881#002885#002886#300671#300676#002882#300675#603063#002889#300679#603978#300689#300693#300713#002912#002917#300731#002916#300739#300634#300454#300745#601138#601330#300724#002938#300760#002939#300752#001872
78,揭阳,002348#002031#600589#002776
79,滁州,600218#002571#002597
80,绍兴,000705#002001#002006#002020#002050#002085#002224#002370#002520#300111#600059#600173#600216#600261#600580#600790#600070#600387#002574#002602#002633#603008#002699#601579#300411#603703#603311#300519#603667#603177#300611#603320#603321#603607#002931#603301#603583#002940
81,唐山,000401#000856#002049#600409#600997#601000#300371#603385#603938
82,合肥,000417#000521#000543#000713#000728#000859#000868#002074#002140#002208#002230#002331#300009#300087#600012#600418#600444#600551#600761#600983#600990#002541#002556#002557#300218#300247#300274#002690#603308#300388#603011#002743#300520#603031#600909#603689#300595#603656#603768#603801#603357#300692#603110#601606
83,厦门,000701#000905#002228#002235#002335#002398#300051#300056#300096#300102#600153#600549#600563#600686#600711#600755#600815#600870#600897#300188#002593#600057#002614#002626#300341#002729#603306#300427#002785#002788#002790#603909#002803#603444#603628#603345#300628#300632#603180#300657#300658#300685#002901#002925
84,苏州,002160#002309#002091#002274#002450#002519#000301#000551#000777#002079#002081#002089#002290#002333#002367#002384#002426#002453#002491#300128#300141#600083#600105#600200#600487#600527#600736#002547#300192#002075#300215#002631#002635#601555#601313#002652#300292#300331#300346#603699#300382#603005#300390#300393#603017#300416#300394#603828#603355#603800#002787#300500#300509#002796#603958#300522#002808#601128#300549#603323#603660#603990#603928#603929#603035#002839#603966#603626#300651#300655#603380#603183#300708#603922#300715#603890#603283#603486#300751
85,焦作,000612#002407#300109#600469#002601
86,金华,600415#002199#002434#002515#600668#601113#002840#002863#603896#603657
